Unnamed: 0,event_ID,text,date,Year,people_regex,people_spacy_model,tailored_entities,People
4,688,"The Princess of Wales , attended by the Marchioness of Carmarthen , drove out yesterday .",1870-02-08,1870,The Princess of Wales | Marchioness of Carmarthen,NA,Princess of Wales | Marchioness of Carmarthen,Marchioness of Carmarthen
5,251,"Prince Leopold drove out , attended by Mr. Duckworth . The Judge - Advocate - General had an audience of Her Majesty yesterday .",1870-08-05,1870,Prince Leopold | Mr | Duckworth | The Judge | Advocate | General | Her Majesty,Duckworth,Prince Leopold | Mr. Duckworth | Her Majesty,Prince Leopold
5,251,"Prince Leopold drove out , attended by Mr. Duckworth . The Judge - Advocate - General had an audience of Her Majesty yesterday .",1870-08-05,1870,Prince Leopold | Mr | Duckworth | The Judge | Advocate | General | Her Majesty,Duckworth,Prince Leopold | Mr. Duckworth | Her Majesty,Mr. Duckworth
5,251,"Prince Leopold drove out , attended by Mr. Duckworth . The Judge - Advocate - General had an audience of Her Majesty yesterday .",1870-08-05,1870,Prince Leopold | Mr | Duckworth | The Judge | Advocate | General | Her Majesty,Duckworth,Prince Leopold | Mr. Duckworth | Her Majesty,Her Majesty
6,1239,Their Royal Highnesses Princess Victoria and Princess Maude of Wales arrived at Osborne yesterday .,1870-07-20,1870,Their Royal Highnesses Princess Victoria | Princess Maude of Wales | Osborne,NA,Royal Highnesses Princess Victoria | Princess Maude of Wales,Royal Highnesses Princess Victoria
6,1239,Their Royal Highnesses Princess Victoria and Princess Maude of Wales arrived at Osborne yesterday .,1870-07-20,1870,Their Royal Highnesses Princess Victoria | Princess Maude of Wales | Osborne,NA,Royal Highnesses Princess Victoria | Princess Maude of Wales,Princess Maude of Wales
7,2580,The Rev. Dr. Taylor officiated .,1870-10-26,1870,The Rev | Dr | Taylor of,Taylor,Rev. Dr. Taylor,Rev. Dr. Taylor
8,1480,"At the Levée held by the Prince of Wales on the Queen's behalf at St. James's Palace on Tuesday last , the Dean of Ely was presented , on his appointment , by the Bishop of Ely .",1870-03-04,1870,At | Lev | Prince of Wales | Queen | St | James | Palace | Tuesday | Dean of Ely | Bishop of Ely,Dean|Ely,Dean of Ely,Dean of Ely
9,1946,"The Duke of Rexburghe , the Hon . Eva Macdonald , and Colonel H. and the Hon . Mra , Ponsonby dined with the Queen yesterday .",1870-03-21,1870,The Duke of Rexburghe | Hon | Eva Macdonald | Colonel H | Hon | Mra | Ponsonby | Queen,Eva Macdonald|Colonel H.|Ponsonby,Duke of Rexburghe | Hon . Eva Macdonald | Hon . Mra | Queen,Duke of Rexburghe
9,1946,"The Duke of Rexburghe , the Hon . Eva Macdonald , and Colonel H. and the Hon . Mra , Ponsonby dined with the Queen yesterday .",1870-03-21,1870,The Duke of Rexburghe | Hon | Eva Macdonald | Colonel H | Hon | Mra | Ponsonby | Queen,Eva Macdonald|Colonel H.|Ponsonby,Duke of Rexburghe | Hon . Eva Macdonald | Hon . Mra | Queen,Hon . Eva Macdonald
9,1946,"The Duke of Rexburghe , the Hon . Eva Macdonald , and Colonel H. and the Hon . Mra , Ponsonby dined with the Queen yesterday .",1870-03-21,1870,The Duke of Rexburghe | Hon | Eva Macdonald | Colonel H | Hon | Mra | Ponsonby | Queen,Eva Macdonald|Colonel H.|Ponsonby,Duke of Rexburghe | Hon . Eva Macdonald | Hon . Mra | Queen,Hon . Mra
9,1946,"The Duke of Rexburghe , the Hon . Eva Macdonald , and Colonel H. and the Hon . Mra , Ponsonby dined with the Queen yesterday .",1870-03-21,1870,The Duke of Rexburghe | Hon | Eva Macdonald | Colonel H | Hon | Mra | Ponsonby | Queen,Eva Macdonald|Colonel H.|Ponsonby,Duke of Rexburghe | Hon . Eva Macdonald | Hon . Mra | Queen,Queen
10,1845,"The Princess of Wales , attended by the Hon . Mrz , Stonor , drove out yesterday ,",1870-03-12,1870,The Princess of Wales | Hon | Mrz | Stonor,Stonor,Princess of Wales | Hon . Mrz,Princess of Wales
10,1845,"The Princess of Wales , attended by the Hon . Mrz , Stonor , drove out yesterday ,",1870-03-12,1870,The Princess of Wales | Hon | Mrz | Stonor,Stonor,Princess of Wales | Hon . Mrz,Hon . Mrz
11,1860,Prince Leopold arrived at the Castle shortly beforo 6 o'clock . Air . Duckworth was in attendance .,1870-03-14,1870,Prince Leopold | Castle | Air | Duckworth,Leopold,Prince Leopold,Prince Leopold
12,1364,"Princess Louise and Princess Beatrice , attended by the Hou , Harriett Phipps , went out driving .",1870-06-14,1870,Princess Louise | Princess Beatrice | Hou | Harriett Phipps,Louise|Hou|Harriett Phipps,Princess Louise | Princess Beatrice,Princess Louise
12,1364,"Princess Louise and Princess Beatrice , attended by the Hou , Harriett Phipps , went out driving .",1870-06-14,1870,Princess Louise | Princess Beatrice | Hou | Harriett Phipps,Louise|Hou|Harriett Phipps,Princess Louise | Princess Beatrice,Princess Beatrice
13,2034,Her Majesty afterwards wout to look at the new church at Esher .,1870-03-31,1870,Her Majesty | Esher,NA,Her Majesty,Her Majesty
14,859,"Prince Leopold walked in the grounds , attended by Mr. Duckworth .",1870-01-01,1870,Prince Leopold | Mr | Duckworth,Duckworth,Prince Leopold | Mr. Duckworth,Prince Leopold
14,859,"Prince Leopold walked in the grounds , attended by Mr. Duckworth .",1870-01-01,1870,Prince Leopold | Mr | Duckworth,Duckworth,Prince Leopold | Mr. Duckworth,Mr. Duckworth
15,785,The Prince and Princess of Wales drove out on Satur day .,1870-02-21,1870,The Prince | Princess of Wales | Satur,NA,Prince | Princess of Wales,Prince
15,785,The Prince and Princess of Wales drove out on Satur day .,1870-02-21,1870,The Prince | Princess of Wales | Satur,NA,Prince | Princess of Wales,Princess of Wales
16,2304,"The Prince of Wales , accompanied by the Prince of Teck and Count Gleichen , and attended by Colonel Kingscote , Lieutenant - Colonel Teesdale , and Lieutenant - Colonel Ellis , was present on Saturday morning at the guard mounting parade in St. James's Park , in honour of the Queen's birth . day .",1870-05-30,1870,The Prince of Wales | Prince of Teck | Count Gleichen | Colonel Kingscote | Lieutenant | Colonel Teesdale | Lieutenant | Colonel Ellis | Saturday | St | James | Park | Queen,Kingscote|Ellis|Queen,The Prince of Wales | Lieutenant - Colonel Teesdale | Lieutenant - Colonel Ellis,The Prince of Wales
16,2304,"The Prince of Wales , accompanied by the Prince of Teck and Count Gleichen , and attended by Colonel Kingscote , Lieutenant - Colonel Teesdale , and Lieutenant - Colonel Ellis , was present on Saturday morning at the guard mounting parade in St. James's Park , in honour of the Queen's birth . day .",1870-05-30,1870,The Prince of Wales | Prince of Teck | Count Gleichen | Colonel Kingscote | Lieutenant | Colonel Teesdale | Lieutenant | Colonel Ellis | Saturday | St | James | Park | Queen,Kingscote|Ellis|Queen,The Prince of Wales | Lieutenant - Colonel Teesdale | Lieutenant - Colonel Ellis,Lieutenant - Colonel Teesdale
16,2304,"The Prince of Wales , accompanied by the Prince of Teck and Count Gleichen , and attended by Colonel Kingscote , Lieutenant - Colonel Teesdale , and Lieutenant - Colonel Ellis , was present on Saturday morning at the guard mounting parade in St. James's Park , in honour of the Queen's birth . day .",1870-05-30,1870,The Prince of Wales | Prince of Teck | Count Gleichen | Colonel Kingscote | Lieutenant | Colonel Teesdale | Lieutenant | Colonel Ellis | Saturday | St | James | Park | Queen,Kingscote|Ellis|Queen,The Prince of Wales | Lieutenant - Colonel Teesdale | Lieutenant - Colonel Ellis,Lieutenant - Colonel Ellis
17,2517,Her Majesty continues to receive very favourable ac counts of Princess Louis of Hesse and the infant Prince .,1870-10-15,1870,Her Majesty | Princess Louis of Hesse | Prince,NA,Her Majesty | Princess Louis of Hesse,Her Majesty
17,2517,Her Majesty continues to receive very favourable ac counts of Princess Louis of Hesse and the infant Prince .,1870-10-15,1870,Her Majesty | Princess Louis of Hesse | Prince,NA,Her Majesty | Princess Louis of Hesse,Princess Louis of Hesse
18,916,Lieutenant - General the Hon . C. and Mrs. Grey had the honour of dining with the Queen and the Royal Family yesterday .,1870-01-13,1870,Lieutenant | General | Hon | Mrs | Grey | Queen | Royal Family,Grey|Queen,Lieutenant - General the Hon | Queen | Royal Family,Lieutenant - General the Hon
18,916,Lieutenant - General the Hon . C. and Mrs. Grey had the honour of dining with the Queen and the Royal Family yesterday .,1870-01-13,1870,Lieutenant | General | Hon | Mrs | Grey | Queen | Royal Family,Grey|Queen,Lieutenant - General the Hon | Queen | Royal Family,Queen
18,916,Lieutenant - General the Hon . C. and Mrs. Grey had the honour of dining with the Queen and the Royal Family yesterday .,1870-01-13,1870,Lieutenant | General | Hon | Mrs | Grey | Queen | Royal Family,Grey|Queen,Lieutenant - General the Hon | Queen | Royal Family,Royal Family
19,1326,The Rev. Dr. Caird arrived at the Castle .,1870-06-07,1870,The Rev | Dr | Caird | Castle,Caird,Rev. Dr. Caird,Rev. Dr. Caird
20,1452,"The Princess of Wales afterwards drove out , atten - led by the Hon . Mrs. W. Grey .",1870-06-28,1870,The Princess of Wales | Hon | Mrs | Grey,W. Grey,Princess of Wales | Hon . Mrs. W. Grey,Princess of Wales
20,1452,"The Princess of Wales afterwards drove out , atten - led by the Hon . Mrs. W. Grey .",1870-06-28,1870,The Princess of Wales | Hon | Mrs | Grey,W. Grey,Princess of Wales | Hon . Mrs. W. Grey,Hon . Mrs. W. Grey
21,1256,"The Prince of Wales , attended by Lieutenant - Colonel Ellis and Mr. Knollys , left Marlborough - house last evening for Grimsby , en route for Denmark .",1870-07-23,1870,The Prince of Wales | Lieutenant | Colonel Ellis | Mr | Knollys | Marlborough | Grimsby | Denmark,Ellis|Knollys|Grimsby,The Prince of Wales | Lieutenant - Colonel Ellis | Mr. Knollys,The Prince of Wales
21,1256,"The Prince of Wales , attended by Lieutenant - Colonel Ellis and Mr. Knollys , left Marlborough - house last evening for Grimsby , en route for Denmark .",1870-07-23,1870,The Prince of Wales | Lieutenant | Colonel Ellis | Mr | Knollys | Marlborough | Grimsby | Denmark,Ellis|Knollys|Grimsby,The Prince of Wales | Lieutenant - Colonel Ellis | Mr. Knollys,Lieutenant - Colonel Ellis
21,1256,"The Prince of Wales , attended by Lieutenant - Colonel Ellis and Mr. Knollys , left Marlborough - house last evening for Grimsby , en route for Denmark .",1870-07-23,1870,The Prince of Wales | Lieutenant | Colonel Ellis | Mr | Knollys | Marlborough | Grimsby | Denmark,Ellis|Knollys|Grimsby,The Prince of Wales | Lieutenant - Colonel Ellis | Mr. Knollys,Mr. Knollys
22,459,"His Royal Highness Prince Arthur , attended by Colonel Elphinstone and Lieutenant Fitzgerald , Rife Brigade ; and the Right Hon . G. J. Goschen arrived at the Castle .",1870-12-05,1870,His Royal Highness Prince Arthur | Colonel Elphinstone | Lieutenant Fitzgerald | Rife Brigade | Right Hon | Goschen | Castle,Arthur|Lieutenant Fitzgerald|G. J. Goschen,Royal Highness Prince Arthur | Lieutenant Fitzgerald | Right Hon . G. J. Goschen,Royal Highness Prince Arthur
22,459,"His Royal Highness Prince Arthur , attended by Colonel Elphinstone and Lieutenant Fitzgerald , Rife Brigade ; and the Right Hon . G. J. Goschen arrived at the Castle .",1870-12-05,1870,His Royal Highness Prince Arthur | Colonel Elphinstone | Lieutenant Fitzgerald | Rife Brigade | Right Hon | Goschen | Castle,Arthur|Lieutenant Fitzgerald|G. J. Goschen,Royal Highness Prince Arthur | Lieutenant Fitzgerald | Right Hon . G. J. Goschen,Lieutenant Fitzgerald
22,459,"His Royal Highness Prince Arthur , attended by Colonel Elphinstone and Lieutenant Fitzgerald , Rife Brigade ; and the Right Hon . G. J. Goschen arrived at the Castle .",1870-12-05,1870,His Royal Highness Prince Arthur | Colonel Elphinstone | Lieutenant Fitzgerald | Rife Brigade | Right Hon | Goschen | Castle,Arthur|Lieutenant Fitzgerald|G. J. Goschen,Royal Highness Prince Arthur | Lieutenant Fitzgerald | Right Hon . G. J. Goschen,Right Hon . G. J. Goschen
23,1332,"The Princess of Wales drove out yesterday , attended by the Hon . Mrs. Coke .",1870-06-08,1870,The Princess of Wales | Hon | Mrs | Coke,Coke,Princess of Wales | Hon . Mrs. Coke,Princess of Wales
23,1332,"The Princess of Wales drove out yesterday , attended by the Hon . Mrs. Coke .",1870-06-08,1870,The Princess of Wales | Hon | Mrs | Coke,Coke,Princess of Wales | Hon . Mrs. Coke,Hon . Mrs. Coke
24,2361,"BALMORAL , Nov. 6 . The Queen and Princess Beatrice , attended by the Duchess of Roxburgh and Viscount Bridport , were present at Divine Service at the parish church of Crathie . The Rev. Dr. Taylor officiated .",1870-11-09,1870,Nov | The Queen | Princess Beatrice | Duchess of Roxburgh | Viscount Bridport | Divine Service | Crathie | The Rev | Dr | Taylor of,Viscount Bridport|Taylor,Queen | Princess Beatrice | Duchess of Roxburgh | Viscount Bridport | Rev. Dr. Taylor,Queen
24,2361,"BALMORAL , Nov. 6 . The Queen and Princess Beatrice , attended by the Duchess of Roxburgh and Viscount Bridport , were present at Divine Service at the parish church of Crathie . The Rev. Dr. Taylor officiated .",1870-11-09,1870,Nov | The Queen | Princess Beatrice | Duchess of Roxburgh | Viscount Bridport | Divine Service | Crathie | The Rev | Dr | Taylor of,Viscount Bridport|Taylor,Queen | Princess Beatrice | Duchess of Roxburgh | Viscount Bridport | Rev. Dr. Taylor,Princess Beatrice
24,2361,"BALMORAL , Nov. 6 . The Queen and Princess Beatrice , attended by the Duchess of Roxburgh and Viscount Bridport , were present at Divine Service at the parish church of Crathie . The Rev. Dr. Taylor officiated .",1870-11-09,1870,Nov | The Queen | Princess Beatrice | Duchess of Roxburgh | Viscount Bridport | Divine Service | Crathie | The Rev | Dr | Taylor of,Viscount Bridport|Taylor,Queen | Princess Beatrice | Duchess of Roxburgh | Viscount Bridport | Rev. Dr. Taylor,Duchess of Roxburgh
24,2361,"BALMORAL , Nov. 6 . The Queen and Princess Beatrice , attended by the Duchess of Roxburgh and Viscount Bridport , were present at Divine Service at the parish church of Crathie . The Rev. Dr. Taylor officiated .",1870-11-09,1870,Nov | The Queen | Princess Beatrice | Duchess of Roxburgh | Viscount Bridport | Divine Service | Crathie | The Rev | Dr | Taylor of,Viscount Bridport|Taylor,Queen | Princess Beatrice | Duchess of Roxburgh | Viscount Bridport | Rev. Dr. Taylor,Viscount Bridport
24,2361,"BALMORAL , Nov. 6 . The Queen and Princess Beatrice , attended by the Duchess of Roxburgh and Viscount Bridport , were present at Divine Service at the parish church of Crathie . The Rev. Dr. Taylor officiated .",1870-11-09,1870,Nov | The Queen | Princess Beatrice | Duchess of Roxburgh | Viscount Bridport | Divine Service | Crathie | The Rev | Dr | Taylor of,Viscount Bridport|Taylor,Queen | Princess Beatrice | Duchess of Roxburgh | Viscount Bridport | Rev. Dr. Taylor,Rev. Dr. Taylor
25,2009,"The Queen , Princess Louise , Prince Leopold , and Princess Beatrice , and the Ladies and Gentlemen in Waiting , were present at Divine service , which was performed in the house by the Rev. R. Duckworth .",1870-03-28,1870,The Queen | Princess Louise | Prince Leopold | Princess Beatrice | Ladies | Gentlemen | Waiting | Divine | Rev | Duckworth,Louise|Prince Leopold|R. Duckworth,Queen | Princess Louise | Prince Leopold | Princess Beatrice | Rev. R. Duckworth,Queen
25,2009,"The Queen , Princess Louise , Prince Leopold , and Princess Beatrice , and the Ladies and Gentlemen in Waiting , were present at Divine service , which was performed in the house by the Rev. R. Duckworth .",1870-03-28,1870,The Queen | Princess Louise | Prince Leopold | Princess Beatrice | Ladies | Gentlemen | Waiting | Divine | Rev | Duckworth,Louise|Prince Leopold|R. Duckworth,Queen | Princess Louise | Prince Leopold | Princess Beatrice | Rev. R. Duckworth,Princess Louise
25,2009,"The Queen , Princess Louise , Prince Leopold , and Princess Beatrice , and the Ladies and Gentlemen in Waiting , were present at Divine service , which was performed in the house by the Rev. R. Duckworth .",1870-03-28,1870,The Queen | Princess Louise | Prince Leopold | Princess Beatrice | Ladies | Gentlemen | Waiting | Divine | Rev | Duckworth,Louise|Prince Leopold|R. Duckworth,Queen | Princess Louise | Prince Leopold | Princess Beatrice | Rev. R. Duckworth,Prince Leopold
25,2009,"The Queen , Princess Louise , Prince Leopold , and Princess Beatrice , and the Ladies and Gentlemen in Waiting , were present at Divine service , which was performed in the house by the Rev. R. Duckworth .",1870-03-28,1870,The Queen | Princess Louise | Prince Leopold | Princess Beatrice | Ladies | Gentlemen | Waiting | Divine | Rev | Duckworth,Louise|Prince Leopold|R. Duckworth,Queen | Princess Louise | Prince Leopold | Princess Beatrice | Rev. R. Duckworth,Princess Beatrice
25,2009,"The Queen , Princess Louise , Prince Leopold , and Princess Beatrice , and the Ladies and Gentlemen in Waiting , were present at Divine service , which was performed in the house by the Rev. R. Duckworth .",1870-03-28,1870,The Queen | Princess Louise | Prince Leopold | Princess Beatrice | Ladies | Gentlemen | Waiting | Divine | Rev | Duckworth,Louise|Prince Leopold|R. Duckworth,Queen | Princess Louise | Prince Leopold | Princess Beatrice | Rev. R. Duckworth,Rev. R. Duckworth
26,1094,The Prince and Princess of Wales drove out yesterday morning .,1870-07-08-005_col_1,1870,The Prince | Princess of Wales,NA,Prince | Princess of Wales,Prince
26,1094,The Prince and Princess of Wales drove out yesterday morning .,1870-07-08-005_col_1,1870,The Prince | Princess of Wales,NA,Prince | Princess of Wales,Princess of Wales
27,30,Prince and Princess Christian remained to iuncheon .,1870-04-04,1870,Prince | Princess Christian,NA,Prince | Princess Christian,Prince
27,30,Prince and Princess Christian remained to iuncheon .,1870-04-04,1870,Prince | Princess Christian,NA,Prince | Princess Christian,Princess Christian
28,677,"The Princess of Wales , attended by the Marchionoss of Carmarthen , drove out .",1870-02-07,1870,The Princess of Wales | Marchionoss of Carmarthen,NA,Princess of Wales,Princess of Wales
29,2104,The Earl of Camperdown and Colonel H. Lynedoch Gar diner have arrived at the Castle as Lord and Groom in Waiting .,1870-05-09,1870,The Earl of Camperdown | Colonel H | Lynedoch Gar | Castle | Lord | Groom | Waiting,H. Lynedoch Gar|Groom,The Earl of Camperdown,The Earl of Camperdown
30,2696,The Right Hon . G. J. Goschen and the Rev. Dr. Charteris had the honour of dining with Her Majesty .,1870-09-21,1870,The Right Hon | Goschen | Rev | Dr | Charteris | Her Majesty,G. J. Goschen|Charteris,Right Hon . G. J. Goschen | Rev. Dr. Charteris | Her Majesty,Right Hon . G. J. Goschen
30,2696,The Right Hon . G. J. Goschen and the Rev. Dr. Charteris had the honour of dining with Her Majesty .,1870-09-21,1870,The Right Hon | Goschen | Rev | Dr | Charteris | Her Majesty,G. J. Goschen|Charteris,Right Hon . G. J. Goschen | Rev. Dr. Charteris | Her Majesty,Rev. Dr. Charteris
30,2696,The Right Hon . G. J. Goschen and the Rev. Dr. Charteris had the honour of dining with Her Majesty .,1870-09-21,1870,The Right Hon | Goschen | Rev | Dr | Charteris | Her Majesty,G. J. Goschen|Charteris,Right Hon . G. J. Goschen | Rev. Dr. Charteris | Her Majesty,Her Majesty
31,2515,The Chancellor of the Exchequer and Mrs. Lowe arrived i in town from Nottingham yesterday afternoon and after wards proceeded to Caterham .,1870-10-14,1870,The Chancellor of | Exchequer | Mrs | Lowe | Nottingham | Caterham,Lowe|Caterham,Chancellor of the Exchequer,Chancellor of the Exchequer
32,272,"Prince and Princess Philip of Würtemberg and the Prince of Leiningen visited the Queen , and remained to",1870-08-08,1870,Prince | Princess Philip of W | Prince of Leiningen | Queen,Queen,Prince | Princess Philip of Würtemberg | of Leiningen | Queen,Prince
32,272,"Prince and Princess Philip of Würtemberg and the Prince of Leiningen visited the Queen , and remained to",1870-08-08,1870,Prince | Princess Philip of W | Prince of Leiningen | Queen,Queen,Prince | Princess Philip of Würtemberg | of Leiningen | Queen,Princess Philip of Würtemberg
32,272,"Prince and Princess Philip of Würtemberg and the Prince of Leiningen visited the Queen , and remained to",1870-08-08,1870,Prince | Princess Philip of W | Prince of Leiningen | Queen,Queen,Prince | Princess Philip of Würtemberg | of Leiningen | Queen,of Leiningen
32,272,"Prince and Princess Philip of Würtemberg and the Prince of Leiningen visited the Queen , and remained to",1870-08-08,1870,Prince | Princess Philip of W | Prince of Leiningen | Queen,Queen,Prince | Princess Philip of Würtemberg | of Leiningen | Queen,Queen
33,1230,"The Prince of Wales , attended by Lord Alfred Hervey , Major Grey , and Mr. Fisher , went to the Agricultural - kall , Islington , on Saturday , and opened the Workmen's Inter national Exhibition on behalf of Her Majesty the Queen .",1870-07-18,1870,The Prince of Wales | Lord Alfred Hervey | Major Grey | Mr | Fisher | Agricultural | Islington | Saturday | Workmen | Inter | Exhibition | Her Majesty | Queen,Alfred Hervey|Grey|Fisher,The Prince of Wales | Lord Alfred Hervey | Mr. Fisher | Her Majesty | Queen,The Prince of Wales
33,1230,"The Prince of Wales , attended by Lord Alfred Hervey , Major Grey , and Mr. Fisher , went to the Agricultural - kall , Islington , on Saturday , and opened the Workmen's Inter national Exhibition on behalf of Her Majesty the Queen .",1870-07-18,1870,The Prince of Wales | Lord Alfred Hervey | Major Grey | Mr | Fisher | Agricultural | Islington | Saturday | Workmen | Inter | Exhibition | Her Majesty | Queen,Alfred Hervey|Grey|Fisher,The Prince of Wales | Lord Alfred Hervey | Mr. Fisher | Her Majesty | Queen,Lord Alfred Hervey
33,1230,"The Prince of Wales , attended by Lord Alfred Hervey , Major Grey , and Mr. Fisher , went to the Agricultural - kall , Islington , on Saturday , and opened the Workmen's Inter national Exhibition on behalf of Her Majesty the Queen .",1870-07-18,1870,The Prince of Wales | Lord Alfred Hervey | Major Grey | Mr | Fisher | Agricultural | Islington | Saturday | Workmen | Inter | Exhibition | Her Majesty | Queen,Alfred Hervey|Grey|Fisher,The Prince of Wales | Lord Alfred Hervey | Mr. Fisher | Her Majesty | Queen,Mr. Fisher
33,1230,"The Prince of Wales , attended by Lord Alfred Hervey , Major Grey , and Mr. Fisher , went to the Agricultural - kall , Islington , on Saturday , and opened the Workmen's Inter national Exhibition on behalf of Her Majesty the Queen .",1870-07-18,1870,The Prince of Wales | Lord Alfred Hervey | Major Grey | Mr | Fisher | Agricultural | Islington | Saturday | Workmen | Inter | Exhibition | Her Majesty | Queen,Alfred Hervey|Grey|Fisher,The Prince of Wales | Lord Alfred Hervey | Mr. Fisher | Her Majesty | Queen,Her Majesty
33,1230,"The Prince of Wales , attended by Lord Alfred Hervey , Major Grey , and Mr. Fisher , went to the Agricultural - kall , Islington , on Saturday , and opened the Workmen's Inter national Exhibition on behalf of Her Majesty the Queen .",1870-07-18,1870,The Prince of Wales | Lord Alfred Hervey | Major Grey | Mr | Fisher | Agricultural | Islington | Saturday | Workmen | Inter | Exhibition | Her Majesty | Queen,Alfred Hervey|Grey|Fisher,The Prince of Wales | Lord Alfred Hervey | Mr. Fisher | Her Majesty | Queen,Queen
34,2288,"The King of the Belgians visited the Prince and Prin cess of Wales at Marlborough House , and remained to lun cheon .",1870-05-27,1870,The King of | Belgians | Prince | Prin | Wales | Marlborough House,Prin,King of the Belgians | Prince | cess of Wales,King of the Belgians
34,2288,"The King of the Belgians visited the Prince and Prin cess of Wales at Marlborough House , and remained to lun cheon .",1870-05-27,1870,The King of | Belgians | Prince | Prin | Wales | Marlborough House,Prin,King of the Belgians | Prince | cess of Wales,Prince
34,2288,"The King of the Belgians visited the Prince and Prin cess of Wales at Marlborough House , and remained to lun cheon .",1870-05-27,1870,The King of | Belgians | Prince | Prin | Wales | Marlborough House,Prin,King of the Belgians | Prince | cess of Wales,cess of Wales
35,776,"tary ) . At this meeting his Royal Highness the Prince of Wales was elected President of the Commission in the place of the late Earl of Derby , and his Koyal Highness Prince Christian and the Earl of Derby were elected members of the Commission .",1870-02-19,1870,At | Royal Highness | Prince of Wales | President of | Commission | Earl of Derby | Koyal Highness Prince Christian | Earl of Derby | Commission,NA,President of the Commission | Koyal Highness Prince Christian,President of the Commission
35,776,"tary ) . At this meeting his Royal Highness the Prince of Wales was elected President of the Commission in the place of the late Earl of Derby , and his Koyal Highness Prince Christian and the Earl of Derby were elected members of the Commission .",1870-02-19,1870,At | Royal Highness | Prince of Wales | President of | Commission | Earl of Derby | Koyal Highness Prince Christian | Earl of Derby | Commission,NA,President of the Commission | Koyal Highness Prince Christian,Koyal Highness Prince Christian
36,724,The Rev. George Prothero officiated .,1870-02-14,1870,The Rev | George Prothero of,George Prothero,Rev. George Prothero,Rev. George Prothero
37,2649,"BALMORAL , SEPT . 7 . The Queen went out in the morning , accompanied by Princess Louise , and Her Majesty drove in the afternoon , attended by Lady Churchill and the Hon . Mrs. H. Pon sonby .",1870-09-10,1870,The Queen | Princess Louise | Her Majesty | Lady Churchill | Hon | Mrs | Pon,Louise|Lady Churchill|H. Pon,Queen | Princess Louise | Her Majesty | Lady Churchill | Hon . Mrs. H. Pon,Queen
