"text","entity","label"
"BALMORAL CASTLE , MAY 21 . The Queen arrived at Balmoral yesterday afternoon at a quarter after 3 o'clock , accompanied by Princess Louise and Princess Beatrice , and attended by the Duchess Dowager of Athole , the Hon . Harriet Phipps , Malle . Norele , Sir Thomas Biddulph , Lord Charles Fitzroy , Mr. Sahl , and Dr. Hoffmeister .","Dr. Hoffmeister","PERSON"
"WINDSOR CASTLE , APRIL 9 . The Queen drove out yesterday afternoon , attended by the Countess of Caledon and the Hon . Eva Macdonald . Princess Louise , attended by Lady Churchill , weat out riding . Princess Beatrice and Princess Blanche of Orleans drove out .","The Queen","PERSON"
"WINDSOR CASTLE , APRIL 9 . The Queen drove out yesterday afternoon , attended by the Countess of Caledon and the Hon . Eva Macdonald . Princess Louise , attended by Lady Churchill , weat out riding . Princess Beatrice and Princess Blanche of Orleans drove out .","Countess of Caledon","PERSON"
"WINDSOR CASTLE , APRIL 9 . The Queen drove out yesterday afternoon , attended by the Countess of Caledon and the Hon . Eva Macdonald . Princess Louise , attended by Lady Churchill , weat out riding . Princess Beatrice and Princess Blanche of Orleans drove out .","Hon . Eva Macdonald","PERSON"
"WINDSOR CASTLE , APRIL 9 . The Queen drove out yesterday afternoon , attended by the Countess of Caledon and the Hon . Eva Macdonald . Princess Louise , attended by Lady Churchill , weat out riding . Princess Beatrice and Princess Blanche of Orleans drove out .","Princess Louise","PERSON"
"WINDSOR CASTLE , APRIL 9 . The Queen drove out yesterday afternoon , attended by the Countess of Caledon and the Hon . Eva Macdonald . Princess Louise , attended by Lady Churchill , weat out riding . Princess Beatrice and Princess Blanche of Orleans drove out .","Lady Churchill","PERSON"
"WINDSOR CASTLE , APRIL 9 . The Queen drove out yesterday afternoon , attended by the Countess of Caledon and the Hon . Eva Macdonald . Princess Louise , attended by Lady Churchill , weat out riding . Princess Beatrice and Princess Blanche of Orleans drove out .","Princess Beatrice","PERSON"
"WINDSOR CASTLE , APRIL 9 . The Queen drove out yesterday afternoon , attended by the Countess of Caledon and the Hon . Eva Macdonald . Princess Louise , attended by Lady Churchill , weat out riding . Princess Beatrice and Princess Blanche of Orleans drove out .","Princess Blanche of Orleans","PERSON"
"A deputation of the National Committee for the Recep tion of the King of the Belgians , consisting of the Lord Mayor of London , Lieutenant - Colonel Durnford , Mr. Edward Gourley , Captain Mercier , and Dr. Mill , arrived at Osborne yesterday , and had the honour of submitting to Her Majesty's inspection the casket containing the national address to the King and Queen of the Belgians .","King of the Belgians","PERSON"
"A deputation of the National Committee for the Recep tion of the King of the Belgians , consisting of the Lord Mayor of London , Lieutenant - Colonel Durnford , Mr. Edward Gourley , Captain Mercier , and Dr. Mill , arrived at Osborne yesterday , and had the honour of submitting to Her Majesty's inspection the casket containing the national address to the King and Queen of the Belgians .","Lord Mayor of London","PERSON"
"A deputation of the National Committee for the Recep tion of the King of the Belgians , consisting of the Lord Mayor of London , Lieutenant - Colonel Durnford , Mr. Edward Gourley , Captain Mercier , and Dr. Mill , arrived at Osborne yesterday , and had the honour of submitting to Her Majesty's inspection the casket containing the national address to the King and Queen of the Belgians .","Lieutenant - Colonel Durnford","PERSON"
"A deputation of the National Committee for the Recep tion of the King of the Belgians , consisting of the Lord Mayor of London , Lieutenant - Colonel Durnford , Mr. Edward Gourley , Captain Mercier , and Dr. Mill , arrived at Osborne yesterday , and had the honour of submitting to Her Majesty's inspection the casket containing the national address to the King and Queen of the Belgians .","Mr. Edward Gourley","PERSON"
"A deputation of the National Committee for the Recep tion of the King of the Belgians , consisting of the Lord Mayor of London , Lieutenant - Colonel Durnford , Mr. Edward Gourley , Captain Mercier , and Dr. Mill , arrived at Osborne yesterday , and had the honour of submitting to Her Majesty's inspection the casket containing the national address to the King and Queen of the Belgians .","Captain Mercier","PERSON"
"A deputation of the National Committee for the Recep tion of the King of the Belgians , consisting of the Lord Mayor of London , Lieutenant - Colonel Durnford , Mr. Edward Gourley , Captain Mercier , and Dr. Mill , arrived at Osborne yesterday , and had the honour of submitting to Her Majesty's inspection the casket containing the national address to the King and Queen of the Belgians .","Dr. Mill","PERSON"
"A deputation of the National Committee for the Recep tion of the King of the Belgians , consisting of the Lord Mayor of London , Lieutenant - Colonel Durnford , Mr. Edward Gourley , Captain Mercier , and Dr. Mill , arrived at Osborne yesterday , and had the honour of submitting to Her Majesty's inspection the casket containing the national address to the King and Queen of the Belgians .","Her Majesty","PERSON"
"The Queen , accompanied by the Dowiger Deniss of Athole , walked and drove in the grounds yesterday after","Queen","PERSON"
"The Queen , accompanied by the Dowiger Deniss of Athole , walked and drove in the grounds yesterday after","Dowiger Deniss of Athole","PERSON"
"The Prince of Wales presided yesterday at a meeting on behalf of the funds of St. George's Hospital , held at the Han over - square Rooms . The Princess of Wales accompanied the Prince . In attendance were the Countess of Morton and General Sir William Knollys .","The Prince of Wales","PERSON"
"The Prince of Wales presided yesterday at a meeting on behalf of the funds of St. George's Hospital , held at the Han over - square Rooms . The Princess of Wales accompanied the Prince . In attendance were the Countess of Morton and General Sir William Knollys .","Princess of Wales","PERSON"
"The Prince of Wales presided yesterday at a meeting on behalf of the funds of St. George's Hospital , held at the Han over - square Rooms . The Princess of Wales accompanied the Prince . In attendance were the Countess of Morton and General Sir William Knollys .","Prince","PERSON"
"The Prince of Wales presided yesterday at a meeting on behalf of the funds of St. George's Hospital , held at the Han over - square Rooms . The Princess of Wales accompanied the Prince . In attendance were the Countess of Morton and General Sir William Knollys .","Countess of Morton","PERSON"
"The Prince of Wales presided yesterday at a meeting on behalf of the funds of St. George's Hospital , held at the Han over - square Rooms . The Princess of Wales accompanied the Prince . In attendance were the Countess of Morton and General Sir William Knollys .","General Sir William Knollys","PERSON"
"The Rev. Dr. Norman Macleod arrived at the Castle and had the honour of dining with the Queen and the Royal family .","Rev. Dr. Norman Macleod","PERSON"
"The Rev. Dr. Norman Macleod arrived at the Castle and had the honour of dining with the Queen and the Royal family .","Queen","PERSON"
"The Rev. Dr. Norman Macleod arrived at the Castle and had the honour of dining with the Queen and the Royal family .","Royal family","PERSON"
"The Viscount and Viscountess Sydney and the Right Hon . R. Lowe arrived at the Castle .","Viscount","PERSON"
"The Viscount and Viscountess Sydney and the Right Hon . R. Lowe arrived at the Castle .","Viscountess Sydney","PERSON"
"The Viscount and Viscountess Sydney and the Right Hon . R. Lowe arrived at the Castle .","Right Hon . R. Lowe","PERSON"
"The Prince and Princess of Wales drove out yesterday morning .","Prince","PERSON"
"The Prince and Princess of Wales drove out yesterday morning .","Princess of Wales","PERSON"
"The Rev. Dr. Taylor officiated .","Rev. Dr. Taylor","PERSON"
"Her Majesty in the afternoon went out , attended by Lady Florence Seymour ,","Her Majesty","PERSON"
"Her Majesty in the afternoon went out , attended by Lady Florence Seymour ,","Lady Florence Seymour","PERSON"
"Their Royal Highnesses the Prince and Princess of Wales , the Duchess of Sutherland , the Dowager Duchess of Athole , the Countess of Macclesfield , and Viscount Bridport dined with the Queen yesterday .","heir Royal Highnesses the Prince","PERSON"
"Their Royal Highnesses the Prince and Princess of Wales , the Duchess of Sutherland , the Dowager Duchess of Athole , the Countess of Macclesfield , and Viscount Bridport dined with the Queen yesterday .","Princess of Wales","PERSON"
"Their Royal Highnesses the Prince and Princess of Wales , the Duchess of Sutherland , the Dowager Duchess of Athole , the Countess of Macclesfield , and Viscount Bridport dined with the Queen yesterday .","Duchess of Sutherland","PERSON"
"Their Royal Highnesses the Prince and Princess of Wales , the Duchess of Sutherland , the Dowager Duchess of Athole , the Countess of Macclesfield , and Viscount Bridport dined with the Queen yesterday .","Dowager Duchess of Athole","PERSON"
"Their Royal Highnesses the Prince and Princess of Wales , the Duchess of Sutherland , the Dowager Duchess of Athole , the Countess of Macclesfield , and Viscount Bridport dined with the Queen yesterday .","Countess of Macclesfield","PERSON"
"Their Royal Highnesses the Prince and Princess of Wales , the Duchess of Sutherland , the Dowager Duchess of Athole , the Countess of Macclesfield , and Viscount Bridport dined with the Queen yesterday .","Viscount Bridport","PERSON"
"Their Royal Highnesses the Prince and Princess of Wales , the Duchess of Sutherland , the Dowager Duchess of Athole , the Countess of Macclesfield , and Viscount Bridport dined with the Queen yesterday .","Queen","PERSON"
"Princess Christian dined with the Queen in the evening . -Her Majesty , accompanied by Princess Beatrice , walked and drove in the grounds this morning . Prince Leopold also went out","Princess Christian","PERSON"
"Princess Christian dined with the Queen in the evening . -Her Majesty , accompanied by Princess Beatrice , walked and drove in the grounds this morning . Prince Leopold also went out","Queen","PERSON"
"Princess Christian dined with the Queen in the evening . -Her Majesty , accompanied by Princess Beatrice , walked and drove in the grounds this morning . Prince Leopold also went out","Her Majesty","PERSON"
"Princess Christian dined with the Queen in the evening . -Her Majesty , accompanied by Princess Beatrice , walked and drove in the grounds this morning . Prince Leopold also went out","Princess Beatrice","PERSON"
"Princess Christian dined with the Queen in the evening . -Her Majesty , accompanied by Princess Beatrice , walked and drove in the grounds this morning . Prince Leopold also went out","Prince Leopold","PERSON"
"Despatches were received yesterday at the Colonial - office from the Governors of the Cape of Good Hope and St ... Helena . Despatches were sent to the Goveruor - General of Canada .","Governors of the Cape of Good Hope and St ... Helena","PERSON"
"Despatches were received yesterday at the Colonial - office from the Governors of the Cape of Good Hope and St ... Helena . Despatches were sent to the Goveruor - General of Canada .","Goveruor - General of Canada","PERSON"
"Professor Lister , Surgeon Extraordinary to the Queen , arrived at the Castle .","Professor Lister","PERSON"
"The Queen went out in the morning , accompanied by Princess Beatrice , and in the afternoon drove out , attended by the Marchioness of Ely and the Hon . Emily Catheart .","Queen","PERSON"
"The Queen went out in the morning , accompanied by Princess Beatrice , and in the afternoon drove out , attended by the Marchioness of Ely and the Hon . Emily Catheart .","Princess Beatrice","PERSON"
"The Queen went out in the morning , accompanied by Princess Beatrice , and in the afternoon drove out , attended by the Marchioness of Ely and the Hon . Emily Catheart .","Marchioness of Ely","PERSON"
"The Queen went out in the morning , accompanied by Princess Beatrice , and in the afternoon drove out , attended by the Marchioness of Ely and the Hon . Emily Catheart .","Hon . Emily Catheart","PERSON"
"Prince and Princess Philip of Würtemberg and the Prince of Leiningen visited the Queen , and remained to","Prince","PERSON"
"Prince and Princess Philip of Würtemberg and the Prince of Leiningen visited the Queen , and remained to","Princess Philip of Würtemberg","PERSON"
"Prince and Princess Philip of Würtemberg and the Prince of Leiningen visited the Queen , and remained to","rince of Leiningen","PERSON"
"Prince and Princess Philip of Würtemberg and the Prince of Leiningen visited the Queen , and remained to","Queen","PERSON"
"WINDSOR CASTLE , MAY 12 . The Queen , accompanied by Princess Beatrice , arrived at the Castle at 7 o'clock this afternoon from Claremont .","Queen","PERSON"
"WINDSOR CASTLE , MAY 12 . The Queen , accompanied by Princess Beatrice , arrived at the Castle at 7 o'clock this afternoon from Claremont .","Princess Beatrice","PERSON"
"The Prince and Princess of Wales , attended by the Mar chioness of Carmarthen , the Marquis of Hamilton , and Lieutenant - Colonol Keppel , were present last evening at a ball given by the Hon . Artillery Company at their Armoury House in Finsbury .","Prince","PERSON"
"The Prince and Princess of Wales , attended by the Mar chioness of Carmarthen , the Marquis of Hamilton , and Lieutenant - Colonol Keppel , were present last evening at a ball given by the Hon . Artillery Company at their Armoury House in Finsbury .","Princess of Wales","PERSON"
"The Prince and Princess of Wales , attended by the Mar chioness of Carmarthen , the Marquis of Hamilton , and Lieutenant - Colonol Keppel , were present last evening at a ball given by the Hon . Artillery Company at their Armoury House in Finsbury .","ar chioness of Carmarthen","PERSON"
"The Prince and Princess of Wales , attended by the Mar chioness of Carmarthen , the Marquis of Hamilton , and Lieutenant - Colonol Keppel , were present last evening at a ball given by the Hon . Artillery Company at their Armoury House in Finsbury .","Marquis of Hamilton","PERSON"
"The Prince and Princess of Wales , attended by the Mar chioness of Carmarthen , the Marquis of Hamilton , and Lieutenant - Colonol Keppel , were present last evening at a ball given by the Hon . Artillery Company at their Armoury House in Finsbury .","Lieutenant - Colonol Keppel","PERSON"
"The Princess of Wales drove out yesterday , attended by the Hon . Mrs. Coke .","Princess of Wales","PERSON"
"The Princess of Wales drove out yesterday , attended by the Hon . Mrs. Coke .","Hon . Mrs. Coke","PERSON"
"Prince Arthur honoured Lord Heary Lennox by sailing t with him yesterday in his yacht .","Prince Arthur","PERSON"
"Prince Arthur honoured Lord Heary Lennox by sailing t with him yesterday in his yacht .","Lord Heary Lennox","PERSON"
"Mr. W. G. Casins presided at the organ . Her Majesty then retired from the Chapel to the Green Drawing - room , accompanied by the Royal and distinguished guests , where the rest of the company followed and where the Baptismal Register was completed . Refreshments were afterwards served in the Dining - room . Lieutenant - General F. H. Seymour has succeeded Lord Charles Fitzroy as Equerry in Waiting .","Mr. W. G. Casins","PERSON"
"Mr. W. G. Casins presided at the organ . Her Majesty then retired from the Chapel to the Green Drawing - room , accompanied by the Royal and distinguished guests , where the rest of the company followed and where the Baptismal Register was completed . Refreshments were afterwards served in the Dining - room . Lieutenant - General F. H. Seymour has succeeded Lord Charles Fitzroy as Equerry in Waiting .","Her Majesty","PERSON"
"Mr. W. G. Casins presided at the organ . Her Majesty then retired from the Chapel to the Green Drawing - room , accompanied by the Royal and distinguished guests , where the rest of the company followed and where the Baptismal Register was completed . Refreshments were afterwards served in the Dining - room . Lieutenant - General F. H. Seymour has succeeded Lord Charles Fitzroy as Equerry in Waiting .","Lieutenant - General F. H. Seymour","PERSON"
"Mr. W. G. Casins presided at the organ . Her Majesty then retired from the Chapel to the Green Drawing - room , accompanied by the Royal and distinguished guests , where the rest of the company followed and where the Baptismal Register was completed . Refreshments were afterwards served in the Dining - room . Lieutenant - General F. H. Seymour has succeeded Lord Charles Fitzroy as Equerry in Waiting .","Lord Charles Fitzroy","PERSON"
"The Prince and Princess of Wales gave a Garden Party on Saturday afternoon , at Chiswick , to which the following were invited , but some were prevented by unavoidable causes from attending","Prince","PERSON"
"The Prince and Princess of Wales gave a Garden Party on Saturday afternoon , at Chiswick , to which the following were invited , but some were prevented by unavoidable causes from attending","Princess of Wales","PERSON"
"WINDSOR CASTLE , JULY 1 . The Queen , attended by the Duchess of Roxburghe , walked and drove in the grounds yesterday afternoon . Her Majesty , with Princess Beatrice , went out this morn ing .","Queen","PERSON"
"WINDSOR CASTLE , JULY 1 . The Queen , attended by the Duchess of Roxburghe , walked and drove in the grounds yesterday afternoon . Her Majesty , with Princess Beatrice , went out this morn ing .","Duchess of Roxburghe","PERSON"
"WINDSOR CASTLE , JULY 1 . The Queen , attended by the Duchess of Roxburghe , walked and drove in the grounds yesterday afternoon . Her Majesty , with Princess Beatrice , went out this morn ing .","Her Majesty","PERSON"
"WINDSOR CASTLE , JULY 1 . The Queen , attended by the Duchess of Roxburghe , walked and drove in the grounds yesterday afternoon . Her Majesty , with Princess Beatrice , went out this morn ing .","Princess Beatrice","PERSON"
"The Countess of Caledon has succeeded Lady Churchill as Lady in Waiting .","Countess of Caledon","PERSON"
"The Countess of Caledon has succeeded Lady Churchill as Lady in Waiting .","Lady Churchill","PERSON"
