event_ID,text,date,Year,people
1529,"fence beyond The Elk appeared with a clear lead of Prim rose , Gardener lying third , Guy of Warwick fourth , and close in whose track came Karslake , Q.C. , Alcibiade , Hall Court , and Cristal , and The Doctor with The Colonel and t Sarney somewhat mending their positions as they approached Becher's Brook , which there they all cleared without a mistake . onlanding the Elk considerably improved his lead , but as saw great good in each , though possibly his natural symps He they ran along the lower ground Primrose ran up to hisquar thies might be more with the Union ; but he recognized in ters , and raced with him to the succeeding water jump , the League much earnestuess , a great desire to help ax known as "" Valentine's Brook , "" which the latter cleared in advance , the pair as they came along the canal side being masters , who , after having placed me in a position that com - duty was to fortere they could promote that their "" I have told you of the hypocrisy of these English well as they might in that great cause . He proceeded to analyze Mr. Forster's measure , and remarked followed by Karslake , Guy of Warwick , Q.C. , and pelled me to rest upon my knees and elbows in order to good in the Bill and amend what was defective . abreast ; but as they came across the meadows they spread me chains and a Bible . I make no complaint of the attention in the Bill . First , whether they agreed in Alciliade , who cleared the fence on to the Course nearly take my food , half starve me , deprive me of light , and give There were at least five characteristics worthy their anything in the race , and when he has been mentioned along land . Lady Tombs , on her marriage , by the Duchess of Suther - with the cast - offs from the flat , Thalassius and Guy of War- out , and came on leading in line to the gorse hurdles , penalties which my masters require me to endure all the details of the measure or not , they were bound to re wick , one has come nearly to the end of the list . Mr. T. which Guy of Warwick reached in advance , but , swerv my fate is to suffer ; but I maintain that I have the There was no treating religion as if it was something illicit ; cognize the thorough fairness and earnestness of the Bill . V. Morgan met with a great disappointment this morning ing from it , jumped it sideways , and lost his place right to acquaint the world with the treatment to there was throughout a recognition that there must be a when Thalassius pulled up lame after a gallop , and he had to the Elk , who came down to the water jump which I am subjected , and that it is illegal to suppress good healthy tone in their schools ; and that tone they hopedy Wentworth , by Countess Beauchamp , Mrs. Wilberforce , on her marriage , by Countess Stan- to be soratched at 10 o'clock . The Doctor continued all in front of the Stand with a clear lead , and cleared my letters which speak of that treatment . The minute new very well , and he believed Mr. Forster , if he were the rage to the last , and the only change of moment was the the obstruction a couple of lengths in front of Prim - precautions taken by the prison authorities to prevent me asked , would frankly say so , must depend upon the teach rose , Karslake , Gardener , Pretentaino II , Cristal , Q. C. , from writing letters are as ridiculous as they are abhorrent . independence . Many said the Bill was a compromise , but coming of The Colonel to 6 to 1 . ing of religion and morality . The second characteristic was Pearl Divor , Surney , Alcibiade , The Doctor , and The The most outrageous proceeding was to strip me naked once he could t Colonel , Casse Tête , and Hall Court , in the order we a day during several months and to examine my arms , legs , garded the measure as one which emanated from a very ild not agree with such speakers or thinkers . He re Most of the books seemed to be full , and except for the have named them , but widely separated ; the two latter and all parts of my body . This occurred at Millbank every earnest man , who had carefully studied all sides of the outlay on The Doctor there would have been little to record . being completely beaten , and evidently out paced , and were day in February and up to May , 1867. One day I resisted , ness of the measure , as almost all other measures , question . The third characteristic was the comprehensive MARCHIONESSES . - Clanricarde , Normanby , and Louisa We mentioned yesterday that sporting Liverpool had not after persevered with . No material change occurred and then there came five officers who assailed me with from whatever quarter they had come , failed to recognize "" plunged "" for the Cheltenham horse almost to a man , with the leading division until Beecher's Brook was reached blows and tore off my clothing . Once I was enabled to that a measure to be national must fix its attention at one though here and there there were dissentient voices to be a second time , when the Elk resigned his place to Primrose , send outside a letter and that procured me a visit from found , who doubted his staying this long course , where both who in turn was headed by Surney and Gardener at the Messrs . Knox and Pollock , two police magistrates , sparse rural population . The fourth characteristic - and speed and stoutness are so much required . It was no secret following fence , and as they neared the turning flag for home What a mockery it was to send two Government offl- nister - was the Conservatism of the Bill , and it did not they might smile at the term , regard to a Liberal Mi The Royal Body Guard of the Yeomen of the that The Doctor's party relied on his trial with Brick , by the railway the latter gave way , as did Guy of Warcials to ascertain the truth concerning English pri- saperseile local effort and did not abrogate parental autho Guard was on duty , under the command of the LADIES . Margaret Beaumont Buxton , Victoria Buxton , which was putting the latter in at 9st . 71b . , a weight at wick , who appeared to tire through the plough , and sons ! These gentlemen refused to take note of what I rity . The Bill endeavoured to use up all existing agencies Duke of St. Albans , the Captain . The Exon in Egerton of Tatton , Townsend Farquhar , Katharine Evans , pointed to some half - dozen , being all close together ; for Colonel , and Karslake , but the latter almost immediately subject which did not suit them they stopped me by saying whole subject of education , but rather to supplement and Rosamond Spencer Churchill , Alwyne Compton , Dashwood , which it was supposed he could not lose . The betting their places were then taken by The Doctor , The had of importance to tell them . When I approached a that were at all of a useful kind , and to supplement them A Guard of Honour of the Grenadier Guards was Hamilton , Haye , Hutt , Caroline Kerrison , Charlotte Legge , after taking 4 to 1 about The Doctor and 6 to 1 about The was added to the beaten division , and Keystone then drew that with the discipline of the prison they had nothing to carry on what was good . The fifth characteristic was Alexander Gordon Lennox , Lewis , Lyttelton , Lyveden , Colonel , they laid 10 to 1 each about four or five others . The Her Majesty the Queen entered the Throne - A'Kenna , Florence Leslie Melville , Sophia Leslie Melville , place betting seemed most to affect Gardener , Pearl Diver , room shortly after 3 o'clock , accompanied by their Maria Ponsonby , Thorold , Trevelyan , Rose Weigall , and Alcibiade , and Hall Court , and there was quite a rush to",1870-03-10,1870,Prim|Gardener|Guy of Warwick|Alcibiade|Sarney|Forster|Karslake|Bill|Lady Tombs|Thalassius|Guy|T.|Bill|V. Morgan|Thalassius|Wilberforce|Stand|Forster|Prim|Karslake|Q. C.|Bill|Pearl Divor|Alcibiade|Casse Tête|Louisa|Elk|Knox|Brick|Margaret|Victoria Buxton|Bill|Karslake|Rosamond Spencer Churchill|Alwyne Compton|Hamilton|Haye|Caroline Kerrison|Charlotte Legge|Alexander Gordon Lennox|Leslie Melville|Leslie Melville|Gardener|Pearl Diver|Maria Ponsonby|Rose Weigall|Alcibiade
971,"A Committee of the Lords of Her Majesty's Most Honourable Privy Council , consisting of the Lord President , the Lord Privy Seal , the Right Hon . H. A Bruce , and the Right Hon . W. E. Forster , met yesterday at the Privy Council Office , Whitehall , to consider certain questions con nected with municipal charters . The Attorney - General sttended the committee .",1870-01-28,1870,W. E. Forster
1781,"Her Royal Highness Princess Louise dined with the Prince and Princess of Wales at Marlborough House yesterday , and accompanied the Princess of Wales to the Gaiety Theatre in the evening .",1870-03-11,1870,Louise
488,Prince and Princess Christian came up from Fragmore and met their Royal Highnesses aud Count and Countess d'Eu .,1870-12-08,1870,
2721,The Queen and the two Princesses visited the Prince and Princess of Wales at Abergeldie in the afternoon .,1870-09-28,1870,
40,"The Bishop of Manchester also arrived , and was intro duced to Her Majesty's presence by the Right Hon . H. A. Bruee , and did homage .",1870-04-05,1870,Majesty|H. A. Bruee
674,The Queen and their Royal Highnesses Princess Louise and Princess Beatrice attended Divino service at Osborne to - day .,1870-02-07,1870,Beatrice
13,"The Prince and Princess of Wales , attended by the Hon . Mrs. Stonor and Captain Ellis , visited the Exhibition of the Society of British Artists yesterday .",1870-04-02,1870,Stonor|Ellis
77,"WINDSOR CASTLE , APRIL 9 . The Queen drove out yesterday afternoon , attended by the Countess of Caledon and the Hon . Eva Macdonald . Princess Louise , attended by Lady Churchill , weat out riding . Princess Beatrice and Princess Blanche of Orleans drove out .",1870-04-11,1870,Eva Macdonald|Louise|Lady Churchill|Beatrice
976,"A deputation of the National Committee for the Recep tion of the King of the Belgians , consisting of the Lord Mayor of London , Lieutenant - Colonel Durnford , Mr. Edward Gourley , Captain Mercier , and Dr. Mill , arrived at Osborne yesterday , and had the honour of submitting to Her Majesty's inspection the casket containing the national address to the King and Queen of the Belgians .",1870-01-29,1870,Edward Gourley|Mercier|Mill|Majesty
536,"The Queen drove out yesterday afternoon , accompanied by the Duchess of Roxburgbe ; Prince Leopold also drove out .. :",1870-12-15,1870,Prince Leopold
1956,"The Dean of Windsor and the Hon . Mrs. Wellesley , Cap tain Henry Wellesley ( Grenadier Guards ) , and the Rev. Henry White had the honour of dining with the Queen and the Royal Family yesterday .",1870-03-22,1870,The Dean of Windsor|Wellesley|Cap|Henry Wellesley|Grenadier Guards|Henry White|Queen
1906,Lady Fanny Howard and Lady Augusta Stanley had the honour of dining with the Queen and the Royal Family in the evening .,1870-03-18,1870,Lady Fanny Howard|Lady Augusta Stanley|Queen
1450,"In the account given of the Queen's Garden Party at Windsor Castle on Friday last , it should have been stated that Viscountess Clifden attended as Lady in Waiting to her Royal Highness Princess Louise .",1870-06-28,1870,Viscountess Clifden|Lady
1226,Her Majesty and their Royal Highnesses Princess Louise and Princoss Bestrico attended Divine service at Whipping ham Church this morning .,1870-07-18,1870,Princoss Bestrico
1320,"The sernion was preached by the lev . R. W. Jelf , D.D. , Sub - Almoner to the Queen , from St. John , chap . xvi . , verses 6 and 7 .",1870-06-06,1870,R. W. Jelf
702,"Prince and Princess Christian visited the Prince and Princess of Wales yesterday at Marlborough - house , and re",1870-02-10,1870,
1293,"The Prince of Wales , accompanied by the King of the Belgians , and attended by Lieutenant - Colonel Teesdalo and Captain Landen , went to the Epaom races yesterday .",1870-06-02,1870,the King of the|Landen
382,"Prince Leopold drove out both morning and afternoon , attended by Dr. Poore .",1870-08-22,1870,
2102,"The suite in attendance consisted of the Viscountess Clifdeu , the Hon . Caroline Cavendisi , Lieutenant - General F. H. Seymour , Colonel H. Ponsonby , Dr. Hoffmeister , Mr Duckworth , and Mr. Suhl .",1870-05-09,1870,Caroline Cavendisi|F. H. Seymour|H. Ponsonby|Hoffmeister|Duckworth|Suhl
1914,"The Queen was attended by the Duchess of Itoxburghe ( Lady in Waiting ) , Lord Wrottesley ( Lord in Waiting ) , Lord Frederic Kerr ( Groom in Waiting ) , Colonel Du Plat ( Equerry in Waiting ) , and the Master of the Household .",1870-03-18,1870,Wrottesley|Frederic Kerr|Groom
867,"Her Majesty , accompanied by their Royal Highnesses Prince and Princess Christian , Princess Louise , Prince Leopold , and Princess Beatrice , proceeded to the rooms at 6 o'clock , where the servants were assembled , and per sonally distributed the gifts , assisted by the Princes and Princesses .",1870-01-03,1870,Louise|Prince Leopold
137,"The Queen , the Fřince and Princess of Wales , Princess Louise , Prince Leopold ; and Princess Beatrica attended Divine Service at Whippingham Church this morning .",1870-04-18,1870,Louise|Prince Leopold
1472,"The Princess of Wales drove out , attended by the Countess of Macclesfield .",1870-03-03,1870,
1527,"The cross - country Derby is always described as exciting great interest , which is in the main true , because it is the steeplechase of the year , and the prestige of its old glories is quite sufficient to make it the one topic of conversation among sporting men . But the interest has not been created lately by the class of the competitors , which last year was provement this . The favourite bad , perhaps , the quality of certainly not first - rate , nor has there been any great im",1870-03-10,1870,
1415,"Earl de Grey , Mr. Gladstone , and Viscount Sydney had audiences of the Queen .",1870-06-24,1870,Earl de Grey|Gladstone|Viscount Sydney
2168,The Prince of Wales presided at a meeting at Marl borough House of Her Majesty's Commissioners for the Exhibition of 1851 .,1870-05-13,1870,
2162,"WINDSOR CASTLE , MAY 12 . The Queen , accompanied by Princess Beatrice , arrived at the Castle at 7 o'clock this afternoon from Claremont .",1870-05-13,1870,Beatrice
629,"Princess Louise , Prince Leopold , and Princess Beatrice also went out .",1870-02-01,1870,Louise|Prince Leopold
2443,"Pratce and Princess Christian , Earl and Countess Gran ville , Lady Churchill , and the Marquis of Lorne dined with the Qaeen .",1870-11-29,1870,Earl|Countess Gran|Lady Churchill|Marquis
75,"The Prince of Wales , attended by Colonel Kingscote and Captain Ellis , hunted with Her Majesty's staghounds near Bracknell yesterday .",1870-04-09,1870,Kingscote|Ellis|Majesty
2379,"The Rev. Mr. Cowas , of Aberdeen , officiated .",1870-11-14,1870,Cowas
1329,"At the Levée held last week by his Royal Highness the Prince of Wales , on behalf of the Queen , at St. James's Palace , Captain Edward Everett , 79th Highlanders , was presented , on his return from India , by Sir Edmund S. Prideaux .",1870-06-07,1870,Queen|Edward Everett|79th Highlanders|Edmund S. Prideaux
1439,"stein Sonderburg Augustenburg , her Royal Highness the Duchess of Casabridge , their Royal Highnessea the Grand Duke and Grand Duchess of Mecklenburg - Strelitz , bis Royal Highness the Duke of Cambridge , her Imperal High ness the Archduchess Thérèse and his Royal Highness the Date Philip of Würtemberg , bis Serene Highness the Prince and her Royal Highness the Princess of Teck , his Sercue Highness the Prince and her Grand Ducal Highnes : the Princess of Leiningen , his Serene Higaness Prizo Edward of Saxe - Weiner and the Countess of Dorn burg , his Serene Highness Prizes Waldemar of Schleswig . Holstein - Sonderburg - Augustenburg , his Highness Prince Hassan , the Count and Countess Gleichen , his Excellency the Turkish Ambassador ( Musurus Pasks ) and the alles . Musurus , bis Excellency the Austro - Hungarian Antussacor ( Count Apponyi ) and the Countess Apponyi , his Excellency the Russian Ainhassador ( Baron de Brunnow ) and the Baroness de Brunnow , his Excellency the Prussian and North - German Ambassador ( Count de Bernstort ; and the Countess de Berostorff and the Countess Thérèse de Bern storff , his Excellency the French Ambassador ( the Mar quis de Lavalette , bis Excellency the Danish Minis ter ( General de Balow ) and Madane de Bulow , his Excellency the Greek Minister ( J. Brakas - Armeni ) and Madame and the Milles . Brailas - Armeni , his Excellency the United States Minister ( Mr. J. L Motiey ) and Mrs. and the Misses Motley , Princess Czernichet and the Prin cesses léon and Marie Czernichef , Prince and Princess Soltykoff , Prince Poniatowsky , Prince de Leon , Prince Louis de Liechtenstein , the Duchess of San Arpino and Miss de Burgh , the Duke of Vallambrosa , the lake and Duchess Caracciolo , the Marquis d'Azeglio , the Marquis du Lau , the Marquis de Castelbajac , the Marquis de Caumont la Force , the Count and Countess de Becheret , the Count and Countess Welles de Lavalette , Count Walewski , Corat Pahlen , Count Batthyany , Count H. de Lambertye , Court E. de Lambertye , Count de St. Priest , Coupt Halley - Claparède , Vicomte Bencedetti , Vicomte Greffulhe , his Excellency Baron de Cetto and Baroness",1870-06-27,1870,stein Sonderburg Augustenburg|the Duke of Cambridge|Waldemar of Schleswig|Holstein - Sonderburg - Augustenburg|Prince Hassan|Countess Gleichen|Mar|de Lavalette|de Balow|J. Brakas - Armeni|Brailas - Armeni|J. L Motiey|Marie Czernichef|Louis de Liechtenstein|Miss de Burgh|Marquis d'Azeglio|Countess Welles de Lavalette|Count Walewski|Corat Pahlen|Count Batthyany|Count H. de Lambertye|Court E. de Lambertye|Coupt Halley - Claparède|Vicomte Bencedetti|Vicomte Greffulhe
208,"Princo Christian , attended by Captain the Iion . Charles Eliot , presided yosterday evening at the dinner on behalf of the British Orphau Asylum , at the Caunou - street Station Hotel .",1870-04-29,1870,Princo Christian|Charles Eliot|Caunou
2360,"The Princess of Wales drove out , attended by the Hon . Mrs. W. Grey .",1870-11-08,1870,W. Grey
1402,At the commencement of the service a chorale was sung by the choir of Her Majesty's Private Chapel .,1870-06-21,1870,
1426,"WINDSOR CASTLE , JUNE 25 . The Queen went out in the grounds this morning with Princess Louise and Princess Beatrice .",1870-06-27,1870,Louise
1587,The Honduras Minister and,1870-03-10,1870,
