"","event_ID","text","date","Year","people_regex"
"76",2307,"In the afternoon the Princess of Wales drove out , accom panied by the Princess of Teck .","1870-05-30","1870","In | Princess of Wales | Princess of Teck"
"77",1000,"Prince and Princess Christian , attended by Lady Susan Melville and Lieutenant - Colonel G. G. Gordon , dised with Monsieur and Madame Van de Weyer yesterday evening , at their residence in Arlington - street .","1870-07-01","1870","Prince | Princess Christian | Lady Susan Melville | Lieutenant | Colonel G | Gordon | Monsieur | Madame Van | Weyer | Arlington"
"78",964,"Despatches were received yesterday at the Colonial - office from the Governors of the Cape of Good Hope and St ... Helena . Despatches were sent to the Goveruor - General of Canada .","1870-01-26","1870","Despatches | Colonial | Governors of | Cape of Good Hope | St | Helena | Despatches | Goveruor | General of Canada"
"79",599,"The Queen and their Royal Highnesses Princess Louise and Princess Beatrice attended Divine service at Whip pingham Church this morning .","1870-12-26","1870","The Queen | Royal Highnesses Princess Louise | Princess Beatrice | Divine | Whip | Church"
"80",781,"Prince and Princess Christian dined with Her Majesty in the evening .","1870-02-21","1870","Prince | Princess Christian | Her Majesty"
"81",1390,"Two rows of chairs ( one on each side of the centre ) were ap propriated to the sponsors and the Royal personages invited to be present .","1870-06-21","1870","Two | Royal"
"82",1529,"fence beyond The Elk appeared with a clear lead of Prim rose , Gardener lying third , Guy of Warwick fourth , and close in whose track came Karslake , Q.C. , Alcibiade , Hall Court , and Cristal , and The Doctor with The Colonel and t Sarney somewhat mending their positions as they approached Becher's Brook , which there they all cleared without a mistake . onlanding the Elk considerably improved his lead , but as saw great good in each , though possibly his natural symps He they ran along the lower ground Primrose ran up to hisquar thies might be more with the Union ; but he recognized in ters , and raced with him to the succeeding water jump , the League much earnestuess , a great desire to help ax known as "" Valentine's Brook , "" which the latter cleared in advance , the pair as they came along the canal side being masters , who , after having placed me in a position that com - duty was to fortere they could promote that their "" I have told you of the hypocrisy of these English well as they might in that great cause . He proceeded to analyze Mr. Forster's measure , and remarked followed by Karslake , Guy of Warwick , Q.C. , and pelled me to rest upon my knees and elbows in order to good in the Bill and amend what was defective . abreast ; but as they came across the meadows they spread me chains and a Bible . I make no complaint of the attention in the Bill . First , whether they agreed in Alciliade , who cleared the fence on to the Course nearly take my food , half starve me , deprive me of light , and give There were at least five characteristics worthy their anything in the race , and when he has been mentioned along land . Lady Tombs , on her marriage , by the Duchess of Suther - with the cast - offs from the flat , Thalassius and Guy of War- out , and came on leading in line to the gorse hurdles , penalties which my masters require me to endure all the details of the measure or not , they were bound to re wick , one has come nearly to the end of the list . Mr. T. which Guy of Warwick reached in advance , but , swerv my fate is to suffer ; but I maintain that I have the There was no treating religion as if it was something illicit ; cognize the thorough fairness and earnestness of the Bill . V. Morgan met with a great disappointment this morning ing from it , jumped it sideways , and lost his place right to acquaint the world with the treatment to there was throughout a recognition that there must be a when Thalassius pulled up lame after a gallop , and he had to the Elk , who came down to the water jump which I am subjected , and that it is illegal to suppress good healthy tone in their schools ; and that tone they hopedy Wentworth , by Countess Beauchamp , Mrs. Wilberforce , on her marriage , by Countess Stan- to be soratched at 10 o'clock . The Doctor continued all in front of the Stand with a clear lead , and cleared my letters which speak of that treatment . The minute new very well , and he believed Mr. Forster , if he were the rage to the last , and the only change of moment was the the obstruction a couple of lengths in front of Prim - precautions taken by the prison authorities to prevent me asked , would frankly say so , must depend upon the teach rose , Karslake , Gardener , Pretentaino II , Cristal , Q. C. , from writing letters are as ridiculous as they are abhorrent . independence . Many said the Bill was a compromise , but coming of The Colonel to 6 to 1 . ing of religion and morality . The second characteristic was Pearl Divor , Surney , Alcibiade , The Doctor , and The The most outrageous proceeding was to strip me naked once he could t Colonel , Casse Tête , and Hall Court , in the order we a day during several months and to examine my arms , legs , garded the measure as one which emanated from a very ild not agree with such speakers or thinkers . He re Most of the books seemed to be full , and except for the have named them , but widely separated ; the two latter and all parts of my body . This occurred at Millbank every earnest man , who had carefully studied all sides of the outlay on The Doctor there would have been little to record . being completely beaten , and evidently out paced , and were day in February and up to May , 1867. One day I resisted , ness of the measure , as almost all other measures , question . The third characteristic was the comprehensive MARCHIONESSES . - Clanricarde , Normanby , and Louisa We mentioned yesterday that sporting Liverpool had not after persevered with . No material change occurred and then there came five officers who assailed me with from whatever quarter they had come , failed to recognize "" plunged "" for the Cheltenham horse almost to a man , with the leading division until Beecher's Brook was reached blows and tore off my clothing . Once I was enabled to that a measure to be national must fix its attention at one though here and there there were dissentient voices to be a second time , when the Elk resigned his place to Primrose , send outside a letter and that procured me a visit from found , who doubted his staying this long course , where both who in turn was headed by Surney and Gardener at the Messrs . Knox and Pollock , two police magistrates , sparse rural population . The fourth characteristic - and speed and stoutness are so much required . It was no secret following fence , and as they neared the turning flag for home What a mockery it was to send two Government offl- nister - was the Conservatism of the Bill , and it did not they might smile at the term , regard to a Liberal Mi The Royal Body Guard of the Yeomen of the that The Doctor's party relied on his trial with Brick , by the railway the latter gave way , as did Guy of Warcials to ascertain the truth concerning English pri- saperseile local effort and did not abrogate parental autho Guard was on duty , under the command of the LADIES . Margaret Beaumont Buxton , Victoria Buxton , which was putting the latter in at 9st . 71b . , a weight at wick , who appeared to tire through the plough , and sons ! These gentlemen refused to take note of what I rity . The Bill endeavoured to use up all existing agencies Duke of St. Albans , the Captain . The Exon in Egerton of Tatton , Townsend Farquhar , Katharine Evans , pointed to some half - dozen , being all close together ; for Colonel , and Karslake , but the latter almost immediately subject which did not suit them they stopped me by saying whole subject of education , but rather to supplement and Rosamond Spencer Churchill , Alwyne Compton , Dashwood , which it was supposed he could not lose . The betting their places were then taken by The Doctor , The had of importance to tell them . When I approached a that were at all of a useful kind , and to supplement them A Guard of Honour of the Grenadier Guards was Hamilton , Haye , Hutt , Caroline Kerrison , Charlotte Legge , after taking 4 to 1 about The Doctor and 6 to 1 about The was added to the beaten division , and Keystone then drew that with the discipline of the prison they had nothing to carry on what was good . The fifth characteristic was Alexander Gordon Lennox , Lewis , Lyttelton , Lyveden , Colonel , they laid 10 to 1 each about four or five others . The Her Majesty the Queen entered the Throne - A'Kenna , Florence Leslie Melville , Sophia Leslie Melville , place betting seemed most to affect Gardener , Pearl Diver , room shortly after 3 o'clock , accompanied by their Maria Ponsonby , Thorold , Trevelyan , Rose Weigall , and Alcibiade , and Hall Court , and there was quite a rush to","1870-03-10","1870","The Elk | Prim | Gardener | Guy of Warwick | Karslake | Alcibiade | Hall Court | Cristal | The Doctor | The Colonel | Sarney | Becher | Brook | Elk | He | Primrose | Union | League | Valentine | Brook | English | He | Mr | Forster | Karslake | Guy of Warwick | Bill | Bible | Bill | First | Alciliade | Course | There | Lady Tombs | Duchess of Suther | Thalassius | Guy of War | Mr | Guy of Warwick | There | Bill | Morgan | Thalassius | Elk | Wentworth | Countess Beauchamp | Mrs | Wilberforce | Countess Stan | The Doctor | Stand | The | Mr | Forster | Prim | Karslake | Gardener | Pretentaino I | Cristal | Many | Bill | The Colonel | The | Pearl Divor | Surney | Alcibiade | The Doctor | The The | Colonel | Casse T | Hall Court | He | Most of | This | Millbank | The Doctor | February | May | One | The | Clanricarde | Normanby | Louisa We | Liverpool | No | Cheltenham | Beecher | Brook | Once I | Elk | Primrose | Surney | Gardener | Messrs | Knox | Pollock | The | It | What | Government of | Conservatism of | Bill | Liberal Mi The Royal Body Guard of | Yeomen of | The Doctor | Brick | Guy of Warcials | English | Guard | Margaret Beaumont Buxton | Victoria Buxton | These | The Bill | Duke of St | Albans | Captain | The Exon | Egerton of Tatton | Townsend Farquhar | Katharine Evans | Colonel | Karslake | Rosamond Spencer Churchill | Alwyne Compton | Dashwood | The | The Doctor | The | When I | A Guard of Honour of | Grenadier Guards | Hamilton | Haye | Hutt | Caroline Kerrison | Charlotte Legge | The Doctor | The | Keystone | The | Alexander Gordon Lennox | Lewis | Lyttelton | Lyveden | Colonel | The Her Majesty | Queen | Throne | Kenna | Florence Leslie Melville | Sophia Leslie Melville | Gardener | Pearl Diver | Maria Ponsonby | Thorold | Trevelyan | Rose Weigall | Alcibiade | Hall Court"
"83",971,"A Committee of the Lords of Her Majesty's Most Honourable Privy Council , consisting of the Lord President , the Lord Privy Seal , the Right Hon . H. A Bruce , and the Right Hon . W. E. Forster , met yesterday at the Privy Council Office , Whitehall , to consider certain questions con nected with municipal charters . The Attorney - General sttended the committee .","1870-01-28","1870","A Committee of | Lords of Her Majesty | Most Honourable Privy Council | Lord President | Lord Privy Seal | Right Hon | A Bruce | Right Hon | Forster | Privy Council Office | Whitehall | The Attorney | General"
"84",1781,"Her Royal Highness Princess Louise dined with the Prince and Princess of Wales at Marlborough House yesterday , and accompanied the Princess of Wales to the Gaiety Theatre in the evening .","1870-03-11","1870","Her Royal Highness Princess Louise | Prince | Princess of Wales | Marlborough House | Princess of Wales | Gaiety Theatre"
"85",488,"Prince and Princess Christian came up from Fragmore and met their Royal Highnesses aud Count and Countess d'Eu .","1870-12-08","1870","Prince | Princess Christian | Fragmore | Royal Highnesses | Count | Countess | Eu"
"86",2721,"The Queen and the two Princesses visited the Prince and Princess of Wales at Abergeldie in the afternoon .","1870-09-28","1870","The Queen | Princesses | Prince | Princess of Wales | Abergeldie"
"87",40,"The Bishop of Manchester also arrived , and was intro duced to Her Majesty's presence by the Right Hon . H. A. Bruee , and did homage .","1870-04-05","1870","The Bishop of Manchester | Her Majesty | Right Hon | Bruee"
"88",674,"The Queen and their Royal Highnesses Princess Louise and Princess Beatrice attended Divino service at Osborne to - day .","1870-02-07","1870","The Queen | Royal Highnesses Princess Louise | Princess Beatrice | Divino | Osborne"
"89",13,"The Prince and Princess of Wales , attended by the Hon . Mrs. Stonor and Captain Ellis , visited the Exhibition of the Society of British Artists yesterday .","1870-04-02","1870","The Prince | Princess of Wales | Hon | Mrs | Stonor | Captain Ellis | Exhibition of | Society of British Artists"
"90",77,"WINDSOR CASTLE , APRIL 9 . The Queen drove out yesterday afternoon , attended by the Countess of Caledon and the Hon . Eva Macdonald . Princess Louise , attended by Lady Churchill , weat out riding . Princess Beatrice and Princess Blanche of Orleans drove out .","1870-04-11","1870","The Queen | Countess of Caledon | Hon | Eva Macdonald | Princess Louise | Lady Churchill | Princess Beatrice | Princess Blanche of Orleans"
"91",976,"A deputation of the National Committee for the Recep tion of the King of the Belgians , consisting of the Lord Mayor of London , Lieutenant - Colonel Durnford , Mr. Edward Gourley , Captain Mercier , and Dr. Mill , arrived at Osborne yesterday , and had the honour of submitting to Her Majesty's inspection the casket containing the national address to the King and Queen of the Belgians .","1870-01-29","1870","National Committee | Recep | King of | Belgians | Lord Mayor of London | Lieutenant | Colonel Durnford | Mr | Edward Gourley | Captain Mercier | Dr | Mill | Osborne | Her Majesty | King | Queen of | Belgians"
"92",536,"The Queen drove out yesterday afternoon , accompanied by the Duchess of Roxburgbe ; Prince Leopold also drove out .. :","1870-12-15","1870","The Queen | Duchess of Roxburgbe | Prince Leopold"
